"","k2","k5","k10"
"1",119082.0417169,116257.748604514,121614.089947544
"2",134848.284415295,118127.01788055,117284.923762675
"3",125909.057504807,124416.126652349,120989.139058692
"4",136592.80447398,116498.009517004,120366.676411152
"5",133290.990553303,118992.624629165,122277.64428657
"6",121594.160061095,125801.417242699,119262.405716254
"7",126187.008549311,121277.202082545,117595.500472834
"8",119254.414566519,112511.474356529,117876.756492872
"9",128371.142706808,119912.828391799,117710.539646345
"10",126046.70966043,115389.021078448,116303.146559574
"11",119724.193774236,117340.419800735,119450.656430097
"12",123045.034778007,122548.610813386,120120.853866559
"13",126806.605878802,119318.645037721,121089.760797812
"14",118797.393765998,124891.053647965,120010.063646614
"15",119086.176256999,116641.371832287,120297.461435742
"16",121482.230277515,118456.795861308,117752.981543988
"17",127536.739005698,123497.164318263,118998.977468205
"18",125384.330599784,122027.473757131,122000.76751706
"19",114829.327811875,116074.53793099,119223.839018845
"20",121772.759595881,117623.91626106,116649.524445801
"21",121601.383022651,124602.111195014,119188.694657722
"22",131101.407785086,124576.584410465,117539.914237305
"23",126159.945400587,121646.69916176,114848.31862326
"24",134645.681971036,122069.386060036,119294.703729903
"25",125174.848301941,121564.271472767,117257.306064977
"26",125651.190002487,120248.435832928,120580.168064701
"27",120153.072377393,121581.995845668,124162.423061251
"28",134129.841048088,120704.534497141,118399.274161556
"29",120332.697176983,117735.76449003,121495.554579775
"30",116522.040987169,115418.218628539,118637.686277102
